feature,importance
ratio_expansion_artista,1873
años_observados_artista,1795
tendencia_actividad,1447
conciertos_ultimo_año,1313
conciertos_ultimos_3_años,1312
artista,1269
dias_desde_ultima_visita_pais,1166
ratio_paises_conciertos_5y,1147
ciudades_unicas_ultimos_5_años,1143
tendencia_gap_pais,1063
conciertos_ultimos_5_años,1058
conciertos_totales_pais_previos,982
conciertos_artista_ultimos_90_dias,978
gap_std_pais,977
gap_medio_global_pais,970
proporcion_visitas_pais,933
gap_max_pais,903
ratio_visitas_misma_estacion_pais,858
gap_coeficiente_variacion_pais,851
paises_unicos_visitados_ultimos_3_años,777
concentracion_estacional_pais,764
paises_unicos_visitados_total,752
gap_medio_pais,729
pais,717
gap_mediano_pais,716
visitas_previas_al_pais,681
ultimo_gap_pais,668
conciertos_artista_ultimos_30_dias,646
paises_distintos_ultimos_30_dias,556
dias_desde_ultimo_concierto_global,548
paises_unicos_visitados_ultimos_5_años,483
rank_pais_para_artista,457
estacion,359
gap_min_pais,289
es_post_covid,66
en_gira_activa,2
es_primera_visita_observada,0
dias_desde_concierto_anterior,0
es_periodo_covid,0
